hour	key	trips_started	earnings	miles	passengers_picked_up	not_on_duty	time_with_passengers
2013-01-12 23	2013000003	3.0	56.925000000000004	11.6825	3.0	0.0	0.6499999999999999
2013-01-12 06	2013000003	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 19	2013000003	3.0	39.73692307692308	7.895999999999999	3.0	0.0	0.85
2013-01-12 22	2013000003	3.0	63.51136363636364	13.34840909090909	3.0	0.0	0.7333333333333333
2013-01-12 14	2013000003	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 05	2013000003	1.0	31.05	1.38	1.0	0.7833333333333333	0.08333333333333333
2013-01-12 10	2013000003	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 07	2013000003	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 17	2013000003	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 16	2013000003	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 11	2013014178	2.0	9.200000000000001	2.5700000000000003	2.0	0.55	0.18333333333333335
2013-01-12 12	2013014178	2.0	62.099999999999994	3.0599999999999996	2.0	0.6166666666666667	0.25
2013-01-12 10	2013014178	1.0	35.65	1.71	1.0	0.48333333333333334	0.13333333333333333
2013-01-12 13	2013014178	2.0	35.65	7.75	2.0	0.16666666666666666	0.5666666666666667
2013-01-12 14	2013014178	1.0	35.65	1.39	1.0	0.5333333333333333	0.1
2013-01-12 07	2013014278	1.0	33.35	3.17	1.0	0.0	0.2
2013-01-12 11	2013017344	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 12	2013017344	2.0	34.18636363636364	11.757272727272728	2.0	0.4	0.5666666666666667
2013-01-12 10	2013017344	1.0	25.3	8.74	1.0	0.75	0.25
2013-01-12 15	2013017344	2.0	6.862903225806452	8.92516129032258	2.0	0.0	0.65
2013-01-12 09	2013017344	2.0	59.8	10.34	2.0	0.2	0.3
2013-01-12 16	2013017344	0.0	2.337096774193548	7.864838709677419	0.0	0.0	0.35
2013-01-12 13	2013017344	4.0	101.81626794258374	2.9848325358851677	4.0	0.0	0.3333333333333333
2013-01-12 14	2013017344	1.0	49.14736842105263	5.547894736842105	1.0	0.0	0.55
2013-01-12 11	2013022502	4.0	102.12	8.381	4.0	0.0	0.5666666666666667
2013-01-12 12	2013022502	2.0	15.18	5.388999999999999	2.0	0.0	0.4666666666666667
2013-01-12 10	2013022502	4.0	138.0	7.01	5.0	0.0	0.5
2013-01-12 15	2013022502	4.0	142.3125	7.835	4.0	0.0	0.5666666666666667
2013-01-12 08	2013022502	1.0	44.85	13.03	1.0	0.0	0.4
2013-01-12 09	2013022502	2.0	26.450000000000003	7.07	2.0	0.0	0.4
2013-01-12 17	2013022502	0.0	2.7600000000000002	0.191	0.0	0.0	0.016666666666666666
2013-01-12 16	2013022502	5.0	74.28999999999999	7.369	5.0	0.0	0.7333333333333333
2013-01-12 13	2013022502	1.0	13.8	3.25	1.0	0.6833333333333333	0.23333333333333334
2013-01-12 14	2013022502	3.0	88.8375	4.895	3.0	0.5666666666666667	0.3666666666666667
